district,mandal
Alluri Sitharama Raju,Paderu
Alluri Sitharama Raju,Chintapalle
Anakapalli,Anakapalle
Anakapalli,Atchutapuram
Guntur,Amaravathi
Guntur,Mangalagiri
Krishna,Machilipatnam
Krishna,Gudivada
Tirupati,Tirupati Rural
Tirupati,Renigunta
