district,mandal
Adilabad,Adilabad Urban
Adilabad,Bela
Hyderabad,Shaikpet
Hyderabad,Ameerpet
Karimnagar,Karimnagar Rural
Karimnagar,Choppadandi
Nizamabad,Nizamabad North
Nizamabad,Dichpalle
Warangal,Warangal
Warangal,Sangem
